model_version,variation_id,vcv_accession,gene,old_classification,actual_later_classification,actual_outcome,predicted_class,pathogenic_probability,score_or_probability,correct,analysis_bucket,confidence,key_features,match_confidence,warning_flags,suspected_error_category,manual_review_status,notes,leakage_audit_status,source
V6,1822,not recorded,LIPI,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.12179435084605632,0.12179435084605632,true,correct high-confidence,0.8782056491539437,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,2370,not recorded,HJV,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.6584876714721118,0.6584876714721118,true,low-confidence,0.6584876714721118,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,2569,not recorded,CLN5,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.6591100667714455,0.6591100667714455,true,low-confidence,0.6591100667714455,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,2887,not recorded,KIRREL3,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.36009580905602195,0.36009580905602195,true,low-confidence,0.639904190943978,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,3827,not recorded,ACADS,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.6522417696064364,0.6522417696064364,true,low-confidence,0.6522417696064364,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,4159,not recorded,RXFP2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3985770789204591,0.3985770789204591,true,low-confidence,0.6014229210795409,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,6121,not recorded,MOCS1,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.8050870991478891,0.8050870991478891,true,correct high-confidence,0.8050870991478891,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,6930,not recorded,SLC37A4,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.9459100325847486,0.9459100325847486,true,correct high-confidence,0.9459100325847486,criteria_without_conflict; classification_age; record_completeness,high,In-frame indel was recognized but has zero Version 1 points.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,8010,not recorded,RDH5,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.7720503817669847,0.7720503817669847,true,low-confidence,0.7720503817669847,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V6,9761,not recorded,ZNF41,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.006402907063778038,0.006402907063778038,true,correct high-confidence,0.993597092936222,noncoding_consequence; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
