model_version,variation_id,vcv_accession,gene,old_classification,actual_later_classification,actual_outcome,predicted_class,pathogenic_probability,score_or_probability,correct,analysis_bucket,confidence,key_features,match_confidence,warning_flags,suspected_error_category,manual_review_status,notes,leakage_audit_status,source
V5,6115,not recorded,MOCS2,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.7154187414529801,0.7154187414529801,true,low-confidence,0.7154187414529801,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,12447,not recorded,TPM3,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.8045110044370074,0.8045110044370074,true,correct high-confidence,0.8045110044370074,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,111247,not recorded,IFNGR2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3091381091933288,0.3091381091933288,true,low-confidence,0.6908618908066713,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,120224,not recorded,PLD3,Uncertain significance,Benign/Likely benign,moved_toward_benign,moved_toward_benign,0.4909128194850188,0.4909128194850188,true,low-confidence,0.5090871805149813,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,219151,not recorded,SALL1,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.9973066076398236,0.9973066076398236,true,correct high-confidence,0.9973066076398236,loss_of_function_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,390052,not recorded,PIGA,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.5123070446660951,0.5123070446660951,true,low-confidence,0.5123070446660951,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,405440,not recorded,GOSR2,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.9979264025553732,0.9979264025553732,true,correct high-confidence,0.9979264025553732,loss_of_function_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,421308,not recorded,DDX11,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.6638514384046085,0.6638514384046085,true,low-confidence,0.6638514384046085,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,424927,not recorded,MDM4,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_pathogenic,0.5271310000433597,0.5271310000433597,false,low-confidence,0.5271310000433597,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,model over-predicted pathogenic,unreviewed,,pass,recorded hidden_test_predictions.csv
V5,425321,not recorded,TNK2,Uncertain significance,Benign/Likely benign,moved_toward_benign,moved_toward_benign,0.003506574032703061,0.003506574032703061,true,correct high-confidence,0.996493425967297,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
