model_version,variation_id,vcv_accession,gene,old_classification,actual_later_classification,actual_outcome,predicted_class,pathogenic_probability,score_or_probability,correct,analysis_bucket,confidence,key_features,match_confidence,warning_flags,suspected_error_category,manual_review_status,notes,leakage_audit_status,source
V7,2071697,not recorded,NFKB1,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.004330154808975773,0.004330154808975773,true,correct high-confidence,0.9956698451910242,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1737731,not recorded,EPAS1,not recorded,not recorded,moved_toward_benign,moved_toward_pathogenic,0.3688746201682576,0.3688746201682576,false,low-confidence,0.6311253798317424,not recorded,not recorded,,model over-predicted pathogenic,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1715021,not recorded,SATB2,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.2375565406539888,0.2375565406539888,true,low-confidence,0.7624434593460112,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,2441110,not recorded,DYSF,not recorded,not recorded,moved_toward_pathogenic,moved_toward_benign,0.2743720558020856,0.2743720558020856,false,low-confidence,0.7256279441979143,not recorded,not recorded,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,2169835,not recorded,TCTN1,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.07377667666265943,0.07377667666265943,true,correct high-confidence,0.9262233233373406,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1496417,not recorded,SLC12A5,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.07488397593894369,0.07488397593894369,true,correct high-confidence,0.9251160240610563,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1943028,not recorded,OPA1,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.004021627514129141,0.004021627514129141,true,correct high-confidence,0.9959783724858708,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,2101489,not recorded,SLC6A8,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.22805493216608788,0.22805493216608788,true,low-confidence,0.7719450678339121,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1770391,not recorded,FLCN,not recorded,not recorded,moved_toward_benign,moved_toward_pathogenic,0.34908109336650994,0.34908109336650994,false,low-confidence,0.6509189066334901,not recorded,not recorded,,model over-predicted pathogenic,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1766307,not recorded,BRCA2,not recorded,not recorded,moved_toward_benign,moved_toward_pathogenic,0.32932102317676415,0.32932102317676415,false,low-confidence,0.6706789768232359,not recorded,not recorded,,model over-predicted pathogenic,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,2139198,not recorded,ABCG5,not recorded,not recorded,moved_toward_benign,moved_toward_benign,0.0038549423389642487,0.0038549423389642487,true,correct high-confidence,0.9961450576610358,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V7,1506589,not recorded,TTN,not recorded,not recorded,moved_toward_pathogenic,moved_toward_pathogenic,0.9599454928440633,0.9599454928440633,true,correct high-confidence,0.9599454928440633,not recorded,not recorded,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
